Column Name,Sample Entry,Label,Type,Description,Keywords
TRES,"Discrete values: 1, BA, P1, P8, PD, PL, PO, RA, S1, S2, S3, S4, SR, TC",Reason Code,String,"Reason or source code for the transaction (1, BA, P1, P8, PD, PL, PO, RA, S1-S4, SR, TC).",reason; code; source; justification; cause
TVEND,"Discrete values: Primarily 0, 1410, 1653",Vendor ID,String,"Vendor or supplier identifier. Mostly 0 with some values 1410, 1653.",vendor; supplier; id; code; partner
TSTAT,"Discrete values:  Primary blank values, Y",Status,Flag,"Transaction status indicator. Mostly blank with some 'Y' values.",status; flag; indicator; state; condition
TSCST,"Lots of 0's (88.9%), Range from 0.0 to 1051.81, Contains decimal values",Standard Cost,Decimal,Standard cost of the item. Mostly zeros with range 0 to 1051.81.,cost; standard; price; baseline; reference
THWS,"Discrete values: I005115A  , I005138B  , I005138C  , I005161B  , I005161C  , I005161D  , I005177A  , I005183A  , I005194A  , I005225A  , ODO       ",Workstation ID,String,Workstation or terminal identifier where transaction was entered.,workstation; terminal; id; device; station
THUSER,"Discrete values: K2B       , LUPABE    , MAGGDY01  , MAGZAM01  , MOJMA     , OGOLNY01  , OSIKAJU   , WCISLOJO  ",User ID,String,User identifier who performed the transaction.,user; id; operator; person; employee
THTIME,Range from 75450 to 101825,Transaction Time,Time,Time when transaction occurred (HHMMSS format). Range 075450 to 101825.,time; timestamp; transaction; occurrence; when
THCURR,"Discrete values:  EUR, PLN, USD, GBP",Currency,String,"Currency code for transaction values (EUR, PLN, USD, GBP).",currency; code; money; denomination; forex
THTEXR,"Discrete values: 0.0, 1.0, 4.4493, 4.5407",Exchange Rate,Decimal,"Exchange rate used for currency conversion. Values include 1.0, 4.4493, 4.5407.",exchange; rate; currency; conversion; forex
TOQTY,"Lots of 0's (94.9%), Range from 0.0 to 94.08, Contains decimal values",Order Quantity,Decimal,Original order quantity or reference quantity. Mostly zeros.,quantity; order; original; reference; requested
THGLRT,"Discrete values: 0.0, 1.0, 4.4493, 4.5407",GL Rate,Decimal,General Ledger rate or accounting factor for financial posting.,rate; gl; general ledger; accounting; financial
THORD,"Discrete values: 0, 222426, 222495, 222636, 222673, 222734, 225072",Order Number,Integer,Order number associated with the transaction.,order; number; reference; link; transaction
THOPNO,Constant value of '0' for all entries,Operation Number,Integer,Operation number within the manufacturing order.,operation; number; manufacturing; step; process
THWRKC,"Lots of 0's (96.9%), Range from 0 to 4708",Work Center,String,Work center code where the operation was performed.,work center; location; manufacturing; station; facility
THPRSH,Constant value of '0' for all entries,Parent Shortage,Flag,Flag indicating if there is a shortage for the parent item.,shortage; parent; flag; indicator; inventory
THLIN,"Discrete values: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",Line Number,Integer,Line number of the order or transaction.,line; number; sequence; order; item
THTUM,"Discrete values:   , BX, KG, SZ, TH, PL, ZG, EA, TN, BX, FT (some form of Unit of Measure Table)",Transaction UOM,String,Unit of measure used for the transaction quantity.,uom; unit; measure; transaction; quantity
THQUM,"Lots of 0's (94.2%), Range from -1292.0 to 998.0, Contains decimal values",Quantity in UOM,Decimal,Quantity expressed in the transaction unit of measure.,quantity; uom; amount; volume; transaction
THACST,"Lots of 0's (92.1%), Range from 0.0 to 1039.97938, Contains decimal values",Actual Cost,Decimal,Actual cost of the item for this transaction.,cost; actual; price; value; expense
THRNO,"Discrete values: 0, 8484",Run Number,Integer,Run number for production or processing.,run; number; production; batch; process
THRSEQ,"Discrete values: 0, 1, 2, 3, 4",Run Sequence,Integer,Sequence number within the run.,sequence; run; number; order; process
THNII,Constant value of '0' for all entries,Next Item Index,Integer,Index or pointer to the next item record.,index; next; item; pointer; link
THCOM,"Discrete values 55 UNIQUE VALUES out of thousands of entries:   BLANK  , 39231090, 39241000, 48045200, 48045990, 48115100, 48119000, 48191000, 48236910, 48236990, 48239085",Comment,String,Additional comments or codes associated with the transaction.,comment; note; text; description; code
THFAMT,Constant value of '0' for all entries,Foreign Amount,Decimal,Transaction amount in foreign currency.,amount; foreign; currency; value; money
THRMFL,"Discrete values:  , G",Remarks Flag,Flag,Flag indicating if remarks are present.,flag; remarks; indicator; note; comment
THSTME,Constant value of '0' for all entries,Start Time,Time,Start time of the transaction or operation.,time; start; timestamp; begin; operation
THCBY,"Values such as: WCISLOJO, DBAK, BIJALDMA, WALCZYWI, SZLAPAAG, CHWASTEL",Created By,String,User ID of the person who created the record.,created by; user; id; author; origin
THCDT,"Discrete values: 0, 20210125",Creation Date,Date,Date when the record was created.,date; creation; timestamp; origin; when
THCTM,"Discrete values: 0, 101621",Creation Time,Time,Time when the record was created.,time; creation; timestamp; origin; when
THLDT,Constant value of '0' for all entries,Last Date,Date,Date of the last update to the record.,date; last; update; modification; timestamp
THLTM,Constant value of '0' for all entries,Last Time,Time,Time of the last update to the record.,time; last; update; modification; timestamp
THUPI,Constant value of '0' for all entries,Unit Price Indicator,Integer,Indicator for how unit price is applied.,price; unit; indicator; flag; cost
THCSGN,Constant value of '0' for all entries,Consignment Flag,Flag,Flag indicating if the item is consignment inventory.,consignment; flag; inventory; indicator; type
THERT2,"Discrete values: 0, 1",Exchange Rate Type 2,String,Secondary exchange rate type.,exchange; rate; type; currency; forex
THGRT2,Constant value of '1' for all entries,GL Rate Type 2,String,Secondary General Ledger rate type.,gl; rate; type; accounting; financial
THCMTB,"Discrete values:  , 7, 8",Comment Type B,String,Type code for the second comment field.,comment; type; code; category; note
THCMTG,"Discrete values: 7, 8",Comment Type G,String,Type code for the third comment field.,comment; type; code; category; note
