Column Name,Sample Entry,Label,Type,Description,Keywords
ICID,Constant value of 'IC' for all entries,Record ID,String,Identifies the record type; always 'IC' for Inventory Cost.,id; record; type; identifier
ICCOM,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: 48115100       ",Commodity,String,Commodity code.,commodity; code; category; type
ICFRMC,"Discrete values:    , C  , P  , SOR",Firm Code,String,Firm planned order code.,firm; code; planning; status
ICBTCH,Constant value of '1.0' for all entries,Batch Flag,Flag,Indicates if batch processing is used.,batch; flag; process; indicator
ICMBWT,Constant value of '0.0' for all entries,Weight,Decimal,Item weight.,weight; mass; measurement; physical
ICSTYL,Constant value of '0.0' for all entries,Style,String,Style code.,style; code; design; type
ICPLN,"Discrete values:   , C4, C5, C6, CZ, S3, S4, S5, SA",Planner,String,Planner code.,planner; code; person; role
ICSTK,"Discrete values:   , B3, CZ",Stockroom,String,Stockroom or location.,stockroom; location; storage; place
ICFWA,Constant value of '0' for all entries,Forward Flag,Flag,Forward scheduling flag.,forward; flag; scheduling; indicator
ICBWIP,Constant value of '0' for all entries,WIP Flag,Flag,Work in progress flag.,wip; flag; status; indicator
ICRELP,Constant value of '0' for all entries,Release Flag,Flag,Release flag.,release; flag; status; indicator
ICMNDT,"Some 0's (0.2%), Range from 0 to 20311120",Maint Date,Date,Date of last maintenance.,maintenance; date; last; update
ICMNTM,"Some 0's (0.2%), Range from 0 to 214914",Maint Time,Time,Time of last maintenance.,maintenance; time; last; update
ICMNUS,"Text data. Lengths: min 10, max 10, avg 10.0. Sample: OGOLNY01  ",Maint User,String,User who performed maintenance.,maintenance; user; id; person
ICENDT,"Some 0's (26.4%), Range from 0 to 20230906",Entry Date,Date,Date of entry.,entry; date; creation; time
ICENTM,"Some 0's (26.4%), Range from 0 to 213525",Entry Time,Time,Time of entry.,entry; time; creation; time
ICENUS,"Text data. Lengths: min 10, max 10, avg 10.0. Sample: OGOLNY01  ",Entry User,String,User who created the record.,entry; user; id; person
ICLPGM,"Discrete values: CST100D   , MRP140D2  , MRP602B   , SYS954B   ",Last Program,String,Last program to update the record.,last; program; update; system
ICGSOR,"Discrete values:  , 0",Source,String,Source code.,source; code; origin; type
ICMFMD,"Discrete values:   ,  1",Mode,String,Mode code.,mode; code; type; setting
ICABC,"Discrete values:  , A, B, C",ABC Class,String,ABC classification for inventory.,abc; class; inventory; category
ICALRQ,"Discrete values: 0, 1",Alloc Req,Flag,Allocation required flag.,allocation; required; flag; status
ICFREQ,"Discrete values: 0, 4, 6, 12, 26",Frequency,Integer,Frequency value.,frequency; value; rate; cycle
ICCIOQ,Constant value of '0.0' for all entries,Cost Order Qty,Decimal,Costing order quantity.,cost; order; quantity; financial
ICCMOQ,Constant value of '0.0' for all entries,Cost Min Qty,Decimal,Costing minimum quantity.,cost; min; quantity; financial
ICCSOQ,Constant value of '0.0' for all entries,Cost Safety Qty,Decimal,Costing safety stock quantity.,cost; safety; quantity; financial
ICRDFD,Constant value of '0' for all entries,Defined Flag,Flag,Defined flag.,defined; flag; status; indicator
ICUMSL,"Discrete values:   , KG, KP, SZ, TH",Sales UOM,String,Sales unit of measure.,sales; uom; unit; measure
ICEXBS,"Discrete values:  , 1",Expense Flag,Flag,Expense item flag.,expense; flag; financial; status
ICSLDY,Constant value of '0' for all entries,Shelf Life Days,Integer,Shelf life in days.,shelf; life; days; expiration
ICRTDY,Constant value of '0' for all entries,Retention Days,Integer,Retention period in days.,retention; days; period; duration
ICSLHR,Constant value of '0' for all entries,Shelf Life Hours,Integer,Shelf life in hours.,shelf; life; hours; expiration
ICRTHR,Constant value of '0' for all entries,Retention Hours,Integer,Retention period in hours.,retention; hours; period; duration
