Column Name,Sample Entry,Label,Type,Description,Keywords
LID,"Discrete values: CL, CS",Record ID,String,Identifies the record type; CL or CS.,id; record; type; identifier
CLSPTL,"Discrete values: 0.0, 1.78, 1.84, 11.0, 76.89, 250.0, 10000.0",Special Total,Decimal,Special total amount.,special; total; amount; financial
CLPBTS,"Discrete values: 0.0, 1.78, 1.84, 76.89, 110.0, 250.0, 10000.0",Publish Status,Decimal,Publish status or value.,publish; status; value; system
CLPRBD,Range from 20250416 to 20260101,Promise Date,Date,Promised delivery date.,promise; date; delivery; time
CLMRPC,Constant value of '0.0' for all entries,Margin Pct,Decimal,Margin percentage.,margin; percentage; financial; ratio
CLMRGH,"Discrete values:   , 00",Margin Hold,Flag,Margin hold flag.,margin; hold; flag; status
CLTAXA,"Discrete values: 0.0, 6.148, 7.2106, 7.2632, 8.1984, 12.0, 95.0, 203.77, 237.8327, 239.806, 584.7063, 14830.1033, 37000.0",Tax Amount,Decimal,Tax amount.,tax; amount; financial; value
CLSHCU,"Discrete values: 0, 2410, 2641, 2974, 3014, 3041, 100765, 101466, 103310, 103537, 103851, 103914",Ship Customer,Integer,Ship-to customer ID.,ship; customer; id; shipping
CLORDT,"Discrete values: 0, 20250909, 20250916, 20250918, 20251020, 20251021, 20251024, 20251029, 20251104, 20251107, 20251120, 20251121, 20251204",Order Date 2,Date,Secondary order date.,order; date; 2; time
CLOROT,Constant value of '0.0' for all entries,Order Total,Decimal,Order total amount.,order; total; amount; financial
CLORQT,"Some 0's (40.0%), Range from 0.0 to 10000.0",Original Qty,Decimal,Original order quantity.,original; quantity; amount; volume
CLOSQT,"Some 0's (40.0%), Range from 0.0 to 10000.0",Outstanding Qty,Decimal,Outstanding quantity.,outstanding; quantity; amount; volume
CLPSQT,Constant value of '0.0' for all entries,Picked Qty,Decimal,Picked quantity.,picked; quantity; amount; volume
CLSSQT,"Discrete values: 0.0, 1.0",Sched Ship Qty,Decimal,Scheduled ship quantity.,scheduled; ship; quantity; amount
CLSLUM,"Discrete values:   , HD, KG, PL, TH, ZG",Sales UOM,String,Sales unit of measure.,sales; uom; unit; measure
CLISQT,Constant value of '0.0' for all entries,Issue Qty,Decimal,Issued quantity.,issue; quantity; amount; volume
CLTODA,"Discrete values: 0.0, 10.0, 19.8, 37.4, 42.73, 59.4, 138.6, 5128.1, 5583.9, 9750.0, 14762.88, 17800.0, 18400.0, 19586.52",Total Day,Decimal,Total per day.,total; day; amount; value
CLTODO,Constant value of '0.0' for all entries,Total Order,Decimal,Total per order.,total; order; amount; value
CLTODT,Constant value of '0.0' for all entries,Total Date,Decimal,Total per date.,total; date; amount; value
CLENTM,"Some 0's (13.3%), Range from 0 to 171650",Entry Time,Time,Time of entry.,entry; time; creation; system
CLENUS,"Discrete values:           , ANDRZEZU  , CUBERMON  , CZECZODO  , GODULABA  , GUCADA    , KALUZIJO  , KLOBUKKA  , SWOBODMA  , TATERAAN  , ZBRONSAG  ",Entry User,String,User who entered the order.,entry; user; id; person
CLMNTM,"Discrete values: 0, 85319, 133703",Maint Time,Time,Time of maintenance.,maintenance; time; last; update
CLMNUS,"Discrete values:           , *VALID    , CZECZODO  , TATERAAN  ",Maint User,String,User who performed maintenance.,maintenance; user; id; person
LGLCD,"Discrete values:   , 06, 10, 23",GL Code,String,General Ledger code.,gl; code; financial; accounting
XLCHNG,"Discrete values:  , 1",Exchange Flag,Flag,Exchange flag.,exchange; flag; status; indicator
XTYOR,"Discrete values:  , 0",Type Order,String,Order type.,type; order; code; category
LMLMPC,Constant value of '0.0' for all entries,Min Price,Decimal,Minimum price.,min; price; limit; value
LMUMPC,"Discrete values: 0.0, 999.99",Max Price,Decimal,Maximum price.,max; price; limit; value
XDSPR,Constant value of '0' for all entries,Display Price,Decimal,Display price.,display; price; value; financial
DSVEND,"Discrete values: 0, 3519",Vendor,Integer,Vendor identifier.,vendor; id; supplier; partner
