Column Name,Sample Entry,Label,Type,Description,Keywords
HCNDT,"130 unique values. Lots of 0's (94.5%). Range: 0.0 to 20120924.0. Mean: 1103629.79, Median: 0.00. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Cancel Date,Date,Date the order was cancelled.,cancel; date
HSTORE,Constant value of '0.0' for all entries,Store,String,Store code.,store; code
HSAL2,"Discrete values (2 unique): 0.0, 700000.0",Salesperson 2,String,Second salesperson code.,salesperson; code; sales
HCOM,Empty column,Commission,Decimal,Commission amount.,commission; amount
HCOM2,Constant value of '0.0' for all entries,Commission 2,Decimal,Second commission amount.,commission; amount
HOTDS,"Discrete values (17 unique): 0.0, 20100323.0, 20100412.0, 20100414.0, 20100419.0, 20100421.0, 20100426.0, 20100427.0, 20100428.0, 20100429.0, 20100430.0, 20100510.0, 20100514.0, 20100517.0, 20100518.0, 20100528.0, 20100607.0",Order Date,Date,Order date.,order; date
HRCDT,"126 unique values. Range: 0.0 to 20100610.0. Mean: 20021830.63, Median: 20100409.00. Sample values: 20100111.0, 20100120.0, 20100211.0, 20100218.0, 20100326.0, 20100402.0, 20100518.0, 20100527.0, 20100531.0, 20100607.0",Receipt Date,Date,Receipt date.,receipt; date
HODBL,"Discrete values (8 unique): -37.43, 0.0, 37.43, 24416.63, 25361.39, 31315.09, 32131.96, 45141.22",Order Balance,Decimal,Balance remaining on the order.,order; balance; amount
CHTAXA,"Text/Mixed data with 487 unique values. Sample values: 0.000000000000000000. Most frequent: 0.000000000000000000 (9405), SP (33), 1422.960000000000000000 (13), KS (6), 4.840000000000000000 (4)",Tax Amount,Decimal,Tax amount.,tax; amount
CHREAS,"Discrete values (2 unique): KS, SP",Reason Code,String,Reason code.,reason; code
CHFENO,Constant value of '0.0' for all entries,FE Number,String,FE number.,fe; number
CHSAL2,Constant value of '0.0' for all entries,Salesperson 2,String,Second salesperson code (CH).,salesperson; code; sales
CHCOM,Constant value of '6.0' for all entries,Commission,Decimal,Commission amount (CH).,commission; amount
CHTERM,"Discrete values (15 unique): 1, 12, 13, 14, 2, 24, 25, 29, 3, 4, 5, 6, 7, 8, CPL",Terms Code,String,Terms code (CH).,terms; code; payment
CHBANK,"Discrete values (3 unique): 1.000000000000000000, CEU, CPL",Bank Code,String,Bank code.,bank; code
CHCURT,"109 unique values. Range: 0.0 to 4.177. Mean: 1.43, Median: 1.00. Contains decimal values. Sample values: 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",Currency Rate,Decimal,Currency exchange rate.,currency; rate; exchange
HBO,"Discrete values (2 unique): 0.0, 4.0",Backorder,Integer,Backorder count (CH).,backorder; count
HFRES,Constant value of '0.0' for all entries,Freight Res,String,Freight reservation.,freight; reservation
HUDTE1,Constant value of '0.0' for all entries,User Date 1,Date,User defined date 1.,user; date
HUDTE2,"Discrete values (7 unique): 0.0, 1991.0, 2826.0, 2906.0, 3451.0, 3649.0, 4105.0",User Date 2,Date,User defined date 2.,user; date
HCPRFN,"388 unique values. Lots of 0's (95.4%). Range: 0.0 to 110702.0. Mean: 1452.10, Median: 0.00. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Profile Number,String,Customer profile number.,profile; number; customer
HCPTP,"23 unique values. Range: -1.0 to 1969.881. Mean: 32.85, Median: 1.00. Contains decimal values. Sample values: 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 527.966",Profile Type,String,Customer profile type.,profile; type; customer
HVOLUM,"4433 unique values. Some 0's (16.0%). Range: -74500.0 to 617400.0. Mean: 329.06, Median: 12.00. Contains decimal values. Sample values: -9.832, 0.0, 0.0, 0.42, 1.106, 3.0, 14.192, 100.011, 250.0, 1208.0",Volume,Decimal,Volume of the order.,volume; amount
HWEIGT,"6574 unique values. Range: -252631.271 to 1424600.0. Mean: 1604.12, Median: 66.54. Contains decimal values. Sample values: -0.75, 0.0, 0.025, 53.186, 107.289, 109.869, 469.969, 1177.225, 2588.016, 5851.828",Weight,Decimal,Weight of the order.,weight; amount
HCONSL,Constant value of '0.0' for all entries,Consolidation,String,Consolidation code.,consolidation; code
HPRCON,"Discrete values (17 unique): -0.055, 0.0, 0.055, 2.0, 18.0, 27.75, 31.166, 32.0, 32.25, 33.0, 33.047, 33.5, 64.166, 65.194, 65.7, 65.777, 100.666",Process Control,String,Process control value.,process; control
HPALET,"3003 unique values. Some 0's (16.0%). Range: -191.678 to 20100629.0. Mean: 68354.52, Median: 0.43. Contains decimal values. Sample values: 0.0, 0.0, 0.044, 0.234, 0.436, 1.298, 2.222, 3.309, 8.0, 9.364",Pallets,Decimal,Number of pallets.,pallets; count
CHMNDT,"Text/Mixed data with 206 unique values. 0.1% missing values. Sample values: 20100226.000000000000000000, 0.000000000000000000, 20100525.000000000000000000, 20100224.000000000000000000, 20100524.000000000000000000, 20100322.000000000000000000, 20100108.000000000000000000, 20100428.000000000000000000, 20100514.000000000000000000, 20100611.000000000000000000. Most frequent: 0.000000000000000000 (781), 20100409.000000000000000000 (254), 20100803.000000000000000000 (205), 20100524.000000000000000000 (184), 20100608.000000000000000000 (171)",Monitor Date,Date,Monitor date.,monitor; date
CHDPFX,"Discrete values (11 unique): 0.000000000000000000, 10.000000000000000000, DA, DB, DF, DK, EP, EX, KE, KS, SP",Doc Prefix,String,Document prefix.,document; prefix
CHDYR,"Discrete values (4 unique): 0.0, 1.0, 3.0, 10.0",Doc Year,Integer,Document year.,document; year
CHDTYP,"Discrete values (5 unique): 1.000000000000000000, 2.000000000000000000, 3.000000000000000000, KS, SP",Doc Type,String,Document type.,document; type
CHPREF,"Text/Mixed data with 25 unique values. Sample values: SP, DF, DB. Most frequent: SP (6534), DF (1565), EX (1267), KS (248), DA (160)",Prefix,String,Prefix code.,prefix; code
CHVDAT,"126 unique values. Range: 20091219.0 to 20100610.0. Mean: 20100229.38, Median: 20100409.00. Sample values: 20100218.0, 20100223.0, 20100303.0, 20100309.0, 20100326.0, 20100419.0, 20100505.0, 20100506.0, 20100510.0, 20100607.0",Value Date,Date,Value date.,value; date
CHPRCC,"Discrete values (17 unique): BG, CZ, DE, EE, EL, ES, FI, FR, GB, HU, LT, LV, NL, PL, R0, SE, SK",Country Code,String,Country code (CH).,country; code; location
CHPRNO,"Text/Mixed data with 46 unique values. 86.6% missing values. Sample values: 128784539, 107724419, 2020274531, 41189698, 2020231939. Most frequent: 128784539 (593), 556035843301 (153), 10945782 (149), 005529542B01 (59), 48593192 (36)",Process Number,String,Process number.,process; number
HRES1,Empty column,Reserved 1,String,Reserved field 1.,reserved; field
HRES2,Empty column,Reserved 2,String,Reserved field 2.,reserved; field
HRES3,"Discrete values (7 unique): 0.0, 100284.0, 100285.0, 100286.0, 100288.0, 100289.0, 100290.0",Reserved 3,String,Reserved field 3.,reserved; field
HRMA,"290 unique values. Lots of 0's (96.7%). Range: 0.0 to 100362.0. Mean: 2937.02, Median: 0.00. Sample values: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",RMA Number,String,Return Merchandise Authorization number.,rma; number; return
CHMNTR,"Discrete values (2 unique): 30, DDU",Monitor,String,Monitor code.,monitor; code
CHTRMC,"Discrete values (5 unique): DD1, DDP, DDU, EXW, FCA",Incoterms,String,Incoterms code.,incoterms; shipping; terms
CHSZNE,Empty column,Zone,String,Zone code.,zone; code; location
CHDELT,Empty column,Delivery Terms,String,Delivery terms.,delivery; terms
CHCDES,Empty column,Code Description,String,Code description.,code; description
CHCODS,Empty column,Codes,String,Codes.,codes
