Column Name,Sample Entry,Label,Type,Description,Keywords
HID,Constant value of 'CH' for all entries,Record ID,String,Identifies the record type; always 'CH' for Customer Order Header.,id; record; type; identifier
HINVN,"Discrete values: 0, 25000459, 25001649, 25002184, 25002214",Invoice Number,Integer,Invoice number.,invoice; number; bill; id
HCURR,"Discrete values: EUR, PLN",Currency,String,Currency code.,currency; code; money; iso
HINUSE,"Discrete values:  , Y",In Use,Flag,Record in use flag.,in; use; flag; status
HCNVFC,Range from 1.0 to 4.2666,Conv Factor,Decimal,Currency conversion factor.,conversion; factor; currency; rate
HBTOT,"Some 0's (30.5%), Range from -4216.73 to 525547.67",Base Total,Decimal,Base currency total.,base; total; amount; financial
HGCNFC,Range from 1.0 to 4.2666,Gen Conv Factor,Decimal,General conversion factor.,general; conversion; factor; rate
HVSHP,Constant value of '0.0' for all entries,Value Shipped,Decimal,Value of shipped goods.,value; shipped; amount; financial
HSINS,Constant value of '0.0' for all entries,Insurance,Decimal,Insurance amount.,insurance; amount; financial; value
HSRDTE,"Lots of 0's (74.4%), Range from 0 to 20251204",Sched Release,Date,Scheduled release date.,scheduled; release; date; planning
HDTSP,"Discrete values: 0, 20251021, 20251031, 20251107, 20251127",Date Stamp,Date,Date stamp.,date; stamp; time; record
HOWGH,Constant value of '0.0' for all entries,Order Weight,Decimal,Total order weight.,order; weight; mass; measurement
HCNDT,Constant value of '0' for all entries,Cancel Date,Date,Cancellation date.,cancel; date; status; time
HSTORE,Constant value of '0' for all entries,Store,String,Store identifier.,store; id; location; retail
HSAL2,Constant value of '0' for all entries,Salesperson 2,String,Secondary salesperson.,salesperson; 2; employee; sales
HOTDS,Constant value of '0.0' for all entries,Order Discount,Decimal,Order discount amount.,order; discount; amount; financial
HRCDT,Range from 20250821 to 20251204,Rec Date,Date,Received date.,received; date; time; record
HODBL,Constant value of '0.0' for all entries,Order Balance,Decimal,Order balance.,order; balance; amount; financial
CHTAXA,"Lots of 0's (63.4%), Range from 0.0 to 31981.88",Tax Amount,Decimal,Tax amount.,tax; amount; financial; value
CHREAS,"Discrete values: 23   , SP   ",Reason Code,String,Reason code.,reason; code; explanation; id
CHSAL2,Constant value of '0' for all entries,Salesperson 2,String,Secondary salesperson.,salesperson; 2; employee; sales
CHTERM,"Discrete values:   , 80",Terms Code 2,String,Secondary terms code.,terms; code; 2; payment
CHBANK,"Discrete values:    , BEU, BPL",Bank Code,String,Bank code.,bank; code; financial; institution
CHCURT,Range from 1.0 to 4.2666,Currency Rate,Decimal,Currency exchange rate.,currency; rate; exchange; financial
HBO,"Discrete values: 0, 4",Backorder,String,Backorder status.,backorder; status; code; inventory
HUDTE1,Constant value of '0' for all entries,Update Date 1,Date,Update date 1.,update; date; 1; time
HUDTE2,Constant value of '0' for all entries,Update Date 2,Date,Update date 2.,update; date; 2; time
HCPRFN,"Discrete values: 0, 459, 1649, 2184, 2214, 528992, 545257, 549394, 553653, 554023",Proforma Inv,Integer,Proforma invoice number.,proforma; invoice; number; id
HCPTP,"Discrete values:  , 0, 1",Price Type,String,Price type code.,price; type; code; category
HVOLUM,"Some 0's (26.8%), Range from 0.0 to 2707.752",Volume,Decimal,Total volume.,volume; measurement; size; capacity
HWEIGT,"Some 0's (24.4%), Range from -0.35 to 34870.519",Weight,Decimal,Total weight.,weight; mass; measurement; physical
HCONSL,Constant value of '0' for all entries,Consolidated,Flag,Consolidated flag.,consolidated; flag; status; indicator
HPRCON,Constant value of '0' for all entries,Print Conf,Flag,Print confirmation flag.,print; confirmation; flag; status
HPALET,"Some 0's (26.8%), Range from 0.0 to 150.444",Pallets,Decimal,Number of pallets.,pallets; count; shipping; logistics
CHDPFX,"Discrete values:   , EP, EX, SP",Doc Prefix,String,Document prefix.,document; prefix; code; id
CHDYR,"Discrete values: 0, 25, 2000, 2025",Doc Year,Integer,Document year.,document; year; date; time
CHDTYP,"Discrete values: 0, 1, 2, 3",Doc Type,String,Document type.,document; type; code; category
CHPREF,"Discrete values: DF, EP, EX, KE, SK, SP",Prefix,String,Prefix code.,prefix; code; id; identifier
CHVDAT,Range from 20250821 to 20251204,Value Date,Date,Value date.,value; date; financial; time
CHPRCC,"Text data. Lengths: min 2, max 2, avg 2.0. Sample: LV",Price Code,String,Price code.,price; code; category; financial
CHPRNO,"Text data. Lengths: min 15, max 15, avg 15.0. Sample: 40003189347    ",Price Number,String,Price number or reference.,price; number; reference; id
HRMA,"Discrete values: 0, 250791, 250792",RMA Number,Integer,Return Merchandise Authorization number.,rma; number; return; id
CHMNTR,"Discrete values:     , 30  ",Monitor,String,Monitor code.,monitor; code; tracking; system
CHTRMC,"Discrete values:    , DAP, EXW, FCA",Terms Code,String,Terms of delivery code.,terms; code; delivery; shipping
CHCPHN,"Text data. Lengths: min 25, max 25, avg 25.0. Sample: 00 48 574 383 761        ",Phone,String,Contact phone number.,phone; contact; number; communication
CHFAX,"Discrete values:                          , 0049 6175-934-53-90      , 34964674113              , 380445022417             , 420 312709028            , 49.244.183.105           , OWCZARCZYK               ",Fax,String,Fax number.,fax; contact; number; communication
CHPHON,"Text data. Lengths: min 25, max 25, avg 25.0. Sample: 00 48 574 383 761        ",Phone 2,String,Secondary phone number.,phone; 2; contact; number
CHTRAN,Constant value of '0' for all entries,Transport,String,Transport code.,transport; code; shipping; logistics
CHCRDH,"Discrete values: 0, 1, 99",Credit Hold,Flag,Credit hold flag.,credit; hold; flag; status
CHCUSH,"Discrete values: 0, 1, 99",Customer Hold,Flag,Customer hold flag.,customer; hold; flag; status
CHMRGH,Constant value of '0' for all entries,Margin Hold,Flag,Margin hold flag.,margin; hold; flag; status
CHUSRH,Constant value of '0' for all entries,User Hold,Flag,User hold flag.,user; hold; flag; status
CHIRES,"Discrete values:   , 01",Reason Code,String,Reason code.,reason; code; explanation; id
CHMRPC,Constant value of '0.0' for all entries,Margin Pct,Decimal,Margin percentage.,margin; percentage; financial; ratio
CHAPPR,"Discrete values: 0, 1",Approved,Flag,Approved flag.,approved; flag; status; indicator
CHPRBD,Range from 20250128 to 20251210,Promise Date,Date,Promised date.,promise; date; delivery; time
CHPREG,"Discrete values:       , GDY2  ",Region,String,Region code.,region; code; location; area
CHPRSC,"Discrete values:   , 00, 04",Process Code,String,Process code.,process; code; status; system
CHBOCL,"Discrete values: 3, 4, 8",Backorder Class,String,Backorder classification.,backorder; class; category; inventory
CHOCLS,"Discrete values: 3, 8, 204, 304",Order Class,String,Order classification.,order; class; category; type
CHUTYP,"Discrete values: 1, 7",User Type,String,User type.,user; type; category; system
CHSTS1,"Discrete values: 0, 1",Status 1,String,Status code 1.,status; code; 1; state
CHSTS2,"Discrete values: 0, 1",Status 2,String,Status code 2.,status; code; 2; state
CHSTS3,Constant value of '0' for all entries,Status 3,String,Status code 3.,status; code; 3; state
CHSTS4,"Discrete values: 0, 1",Status 4,String,Status code 4.,status; code; 4; state
CHSTS5,"Discrete values: 0, 1",Status 5,String,Status code 5.,status; code; 5; state
CHCLOS,"Discrete values:  , 0",Closed,Flag,Closed flag.,closed; flag; status; indicator
CHTOEA,"Some 0's (34.1%), Range from -76.85 to 139051.66",Total EA,Decimal,Total amount in EA currency.,total; ea; amount; financial
