Column Name,Sample Entry,Label,Type,Description,Keywords
PHID,"Discrete values: PH, PZ",Record ID,String,Identifies the record type; PH or PZ.,id; record; type; identifier
PHTERM,"Discrete values:   , 01, 02, 03, 05, 06, 07, 08, 12, 13, 16, 20",Terms Code,String,Payment terms code.,terms; code; payment; financial
PHBUYC,"Discrete values:  , 1, 2, 4, 6, 7, 8, 9",Buyer Code,String,Buyer identifier.,buyer; code; employee; purchasing
PHCUR,"Discrete values:    , EUR, PLN, USD",Currency,String,Currency code.,currency; code; money; iso
PHRCRT,"Some 0's (0.2%), Range from 0.0 to 4.139",Rec Rate,Decimal,Receipt exchange rate.,receipt; rate; exchange; financial
PHINRT,"Some 0's (0.2%), Range from 0.0 to 4.139",Inv Rate,Decimal,Invoice exchange rate.,invoice; rate; exchange; financial
PHLINS,"Some 0's (0.5%), Range from 0 to 132",Line Count,Integer,Number of lines in the PO.,line; count; number; total
PHEXRT,"Some 0's (0.2%), Range from 0.0 to 4.139",Exch Rate,Decimal,Exchange rate.,exchange; rate; currency; financial
PHRQID,"Discrete values: DOMINEPI  , GRUSZKA   , GRZESZRA  , JCZUDAJ   , LUPABE    , MOJMA     , OSIKAJU   , PIETRAAD  ",Requestor ID,String,Requestor identifier.,requestor; id; employee; purchasing
PHLAID,"Discrete values:           , DOMINEPI  , GRUSZKA   , GRZESZRA  , JCZUDAJ   , LUPABE    , MOJMA     , OSIKAJU   , PIETRAAD  ",Last Approver,String,Last approver identifier.,last; approver; id; employee
PHAPDT,"Some 0's (0.2%), Range from 0 to 20171120",Approval Date,Date,Date of approval.,approval; date; status; time
PHBPRT,Constant value of '0' for all entries,Batch Print,Flag,Batch print flag.,batch; print; flag; status
PHVTXC,"Discrete values:      , EXP  , VAT  ",VAT Code,String,VAT tax code.,vat; tax; code; financial
PHBAMT,Constant value of '0.0' for all entries,Base Amount,Decimal,Base currency amount.,base; amount; financial; value
PHEXTC,Constant value of '0' for all entries,Extra Cost,Decimal,Extra cost amount.,extra; cost; amount; financial
PHCRCC,"Discrete values:   , PL",Country Code,String,Country code.,country; code; location; place
PHCRNO,"Discrete values:                , 5490022619     ",Tax ID,String,Tax identification number.,tax; id; number; financial
PHSRCC,"Discrete values:   , DE, ES, FI, FR, GB, HU, IT, SE",Source Country,String,Source country code.,source; country; code; location
PHSRNO,"Discrete values:                , 00513220012    , 10390508       , 10945782       , 12003031       , 128784539      , 138 552 598    , 556035843301   , 61627120116    , 813354501      , 897381562      , B12020806      ",Source Number,String,Source reference number.,source; number; reference; id
PHMNTR,"Discrete values:     , 30  ",Monitor,String,Monitor code.,monitor; code; tracking; system
PHRVTM,Constant value of '0' for all entries,Revision Time,Time,Time of revision.,revision; time; update; system
PHENTM,Constant value of '0' for all entries,Entry Time,Time,Time of entry.,entry; time; creation; system
PHCHTM,Constant value of '0' for all entries,Change Time,Time,Time of change.,change; time; update; system
PHCLTM,Constant value of '0' for all entries,Close Time,Time,Time of closing.,close; time; status; system
