Column Name,Sample Entry,Label,Type,Description,Keywords
LID,Constant value of 'ZL' for all entries,Record ID,String,Identifies the record type; always 'ZL' for Order Line.,id; record; type; identifier
CLALRQ,"Discrete values: 0, 1",Alloc Req,Flag,Allocation required flag.,allocation; required; flag; status
CLBALK,Constant value of '0' for all entries,Bulk Alloc,Flag,Bulk allocation flag.,bulk; allocation; flag; status
CLBOCL,"Discrete values: 4, 7, 8",Backorder Class,String,Backorder classification.,backorder; class; category; inventory
CLOCLS,"Discrete values: 8, 204, 207, 208",Order Class,String,Order classification.,order; class; category; type
CLBTYP,"Discrete values: 1, 7",Bill Type,String,Billing type.,bill; type; category; financial
CLUTYP,"Discrete values: 1, 7",User Type,String,User type.,user; type; category; system
CLSTS1,Constant value of '0' for all entries,Status 1,String,Status code 1.,status; code; 1; state
CLSTS2,Constant value of '0' for all entries,Status 2,String,Status code 2.,status; code; 2; state
CLSTS3,Constant value of '0' for all entries,Status 3,String,Status code 3.,status; code; 3; state
CLSTS4,Constant value of '0' for all entries,Status 4,String,Status code 4.,status; code; 4; state
CLSTS5,Constant value of '1' for all entries,Status 5,String,Status code 5.,status; code; 5; state
CLBRGC,"Discrete values:   , MW",Bridge Code,String,Bridge code.,bridge; code; system; integration
CLBBTL,"Some 0's (25.0%), Range from 0.0 to 70880.0",Bill Total,Decimal,Billing total.,bill; total; amount; financial
CLLPSC,"Discrete values: 3, 4, 7, 12",Line Process,String,Line process code.,line; process; code; status
CLNPSC,"Discrete values: 5, 6, 7",Next Process,String,Next process code.,next; process; code; status
CLNPBL,"Some 0's (24.1%), Range from 0.0 to 70880.0",Net Payable,Decimal,Net payable amount.,net; payable; amount; financial
CLNPTL,"Some 0's (24.1%), Range from 0.0 to 70880.0",Net Total,Decimal,Net total amount.,net; total; amount; financial
CLSPTL,"Lots of 0's (71.4%), Range from 0.0 to 86362.5",Special Total,Decimal,Special total amount.,special; total; amount; financial
CLPBTS,"Lots of 0's (83.1%), Range from 0.0 to 1181.0",Publish Status,Decimal,Publish status or value.,publish; status; value; system
CLPRBD,Range from 20090131 to 20101231,Promise Date,Date,Promised delivery date.,promise; date; delivery; time
CLMRPC,"Lots of 0's (93.3%), Range from -566.0 to 56.31",Margin Pct,Decimal,Margin percentage.,margin; percentage; financial; ratio
CLMRGH,"Discrete values: 0, 1, 99",Margin Hold,Flag,Margin hold flag.,margin; hold; flag; status
CLTAXA,"Lots of 0's (83.4%), Range from -38.72 to 7689.0",Tax Amount,Decimal,Tax amount.,tax; amount; financial; value
CLSHCU,Range from 12 to 800507,Ship Customer,Integer,Ship-to customer ID.,ship; customer; id; shipping
CLORDT,Range from 20091219 to 20100505,Order Date 2,Date,Secondary order date.,order; date; 2; time
CLORQT,Range from -6930.0 to 8000.0,Original Qty,Decimal,Original order quantity.,original; quantity; amount; volume
CLOSQT,"Some 0's (12.7%), Range from -6930.0 to 8000.0",Outstanding Qty,Decimal,Outstanding quantity.,outstanding; quantity; amount; volume
CLPSQT,Constant value of '0.0' for all entries,Picked Qty,Decimal,Picked quantity.,picked; quantity; amount; volume
CLSSQT,"Some 0's (12.7%), Range from -6930.0 to 8000.0",Sched Ship Qty,Decimal,Scheduled ship quantity.,scheduled; ship; quantity; amount
CLSLUM,"Discrete values: BX, KG, SZ, TH, TN, ZG",Sales UOM,String,Sales unit of measure.,sales; uom; unit; measure
CLISQT,"Some 0's (12.7%), Range from -6930.0 to 8000.0",Issue Qty,Decimal,Issued quantity.,issue; quantity; amount; volume
CLTODA,"Lots of 0's (50.5%), Range from 0.0 to 61200.0",Total Day,Decimal,Total per day.,total; day; amount; value
CLTODO,Constant value of '0.0' for all entries,Total Order,Decimal,Total per order.,total; order; amount; value
CLTODT,Constant value of '0.0' for all entries,Total Date,Decimal,Total per date.,total; date; amount; value
CLENTM,Range from 64454 to 224836,Entry Time,Time,Time of entry.,entry; time; creation; system
CLENUS,"Discrete values: BROMANIU  , CGFS      , D2BGDY    , GODULABA  , GRUSZKA   , GRZESZRA  , GUCADA    , KLUZAMA   , LUPABE    , ROZWORTO  , SMIGIEAN  , ZAWALAG   ",Entry User,String,User who entered the order.,entry; user; id; person
