FBDI Column,FBDI Column Name,Tech Comments,Field Description,Mandatory,Data Type,Max Length,Default,Comments,Legacy Table Name,Legacy Column Name,Legacy Field Description ,Legacy Data Type, Mapping Logic
GR,Length,Sample: 1.02,Length of the item.,,NUMBER,,,,,,,,
GS,Width,Sample: 2.03,Width of the item.,,NUMBER,,,,,,,,
GT,Height,Sample: 3.04,Height of the item.,,NUMBER,,,,,,,,
GV,Container,Sample: Y,Value that indicates the type of container used for shipping of the item. A list of accepted values is defined in the lookup type EGP_CONTAINER_TYPE. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.,,VARCHAR2,1,,,,,,,
GW,Container Type,Sample: BOX,Value that indicates the type of container used for shipping the item.  A list of accepted values is defined in the lookup type EGP_CONTAINER_TYPE. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.,,VARCHAR2,30,,,,,,,
GX,Warehouse Equipment,Sample: 1,"Contains one of the following values: 1 or 2.  If 1, then the item is equipment. If 2, then the item isn't equipment.",,NUMBER,,,,,,Not stored in BPCS. ,,
HG,Process Execution Enabled,Sample: N,"Contains one of the following values: Y or N. If Y, then item is used as an ingredient, product, or by-product in a production batch. If N, then don't use the item as ingredient, product, or by-product in a production batch.",,VARCHAR2,1,,,,,Not stored in BPCS. ,,
HY,Use Approved Supplier,Sample: N,"Possible values are Y and N. If Y, then requires an approved supplier. If N,then doesn't require an approved supplier.",,VARCHAR2,1,,,,,Not stored in BPCS. ,,
IB,List Price,Sample: 34.5,List price of the item.,,NUMBER,,,,CMF ,,,,
IK,Allow Purchasing Document Description Update,Sample: N,"Contains one of the following values: Y or N. If Y, then allow the application to update the purchasing document description. If N, then don't allow this update.",,VARCHAR2,1,,,,,Not stored in BPCS. ,,
JS,Orderable on the Web,Sample: N,"Contains one of the following values: Y or N. If Y, then allow the customer to order the item from the web. If N, then don't allow the customer to order the item from the web.",,VARCHAR2,1,,,,,Not stored in BPCS. ,,
JX,Contract Manufacturing,Sample: N,"Contains one of the following values: Y or N. If Y, then use the item in contract manufacturing. If N, then don't use the item in contract manufacturing.",,VARCHAR2,1,,,,,,,
E,Item Relationship Type,Sample: GTIN_XREF,"Indicates the item relationship type. Possible values are: 
CUSTOMER_ITEM_XREF
COMPETITOR_ITEM_XREF
SUPPLIER_ITEM_XREF
ITEM_XREF
RELATED_ITEM
MFG_PART_NUM
GTIN_XREF
SYS_ITEM_XREF",Y,VARCHAR2,120,,,,,,,
F,Item Number,Sample: test_item_01,Unique number associated with the item.,Y,VARCHAR2,820,,,,,,,
G,Organization Code,Sample: INV_ORG_01,Code that identifies the organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,Y,VARCHAR2,18,,,,,,,
H,Master Organization Code,Sample: INV_ORG_02,Code that identifies the master organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,Y,VARCHAR2,18,,,,,,,
I,Source System Code,Sample: ALFBPCS,Defines the Source System Code. Review the value for this attribute using the Manage Source System task in the Setup and Maintenance work area.,,VARCHAR2,30,,,,,,,
L,Trading Partner Item Number,Sample: item_005,Unique number associated with the trading partner item.,"Y if CUSTOMER_ITEM_XREF, SUPPLIER_ITEM_XREF, MFG_PART_NUM, COMPETITOR_ITEM_XREF",VARCHAR2,150,,,,,,,
N,Related Item Number,Sample: item_006,Unique number associated with the item.,Y if RELATED_ITEM,VARCHAR2,820,,,,,,,
Q,Sub Type,Sample: Old Item Number Alf,"Indicates the relationship subtype. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.
For RELATED_ITEM, a list of accepted values is defined in the EGP_RELATIONSHIP_TYPES lookup type.
For GTIN_XREF, a list of accepted values is defined in the EGP_GTIN_PARTY_TYPES lookup type.
For ITEM_XREF, a list of accepted values is defined in the EGP_ITEM_XREF_TYPES lookup type. 
For COMPETITOR_ITEM_XREF, a list of accepted values is defined in the EGP_COMPETITOR_ITEM_XREF lookup type.","Y if COMPETITOR_ITEM_XREF, ITEM_XREF, RELATED_ITEM, GTIN_XREF
",VARCHAR2,100,,,,,,,
R,Cross Reference,Sample: Old reference 101,Indicates the GTIN number. Its applicable for GTIN_XREF.,Y if GTIN_XREF,VARCHAR2,1020,,,,,,,
S,Org Independent Flag,Sample: Y,"Indicates whether the relationship is applicable to all orgs. Applicable values are Y, N.",Y if ITEM_XREF,VARCHAR2,4,,,,,,,
T,EPC GTIN Serial,Sample: 00001230456,Indicates the EPC GTIN Serial Number. Applicable for GTIN_XREF.,,NUMBER,18,,,,,,,
U,Start Date Active,2025/01/01,Start date of the related item relationship.,Y,DATE,,,,,,,,
AA,Trading Partner Number,Sample: 34560,"Indicates the trading partner number associated with the relationship. For GTIN_XREF, it can be Customer Number, Manufacturer Number or Supplier Number. For MFG_PART_NUM, this indicates the MPN Number. For COMPETITOR_ITEM_XREF, this indicates the Competitor Item Number. For CUSTOMER_ITEM_XREF, this indicates the Customer Item Number.","Y if CUSTOMER_ITEM_XREF, SUPPLIER_ITEM_XREF, MFG_PART_NUM, COMPETITOR_ITEM_XREF, GTIN_XREF",VARCHAR2,30,,,,,,,
AB,Unit of Measure,Sample: BOX,Indicates the GTIN Unit of Measure. Applicable for GTIN_XREF.,Y if GTIN_XREF,VARCHAR2,25,,,,,,,
E,Item Number,Sample: test_item_01,Unique number associated with the item.,Y,VARCHAR2,300,,,,,,,
F,Organization Code,Sample: INV_ORG_01,Code that identifies the organization. Review and update the value for this attribute using the Manage Inventory Organizations task in the Setup and Maintenance work area.,Y,VARCHAR2,18,,,,,,,
G,Catalog,Sample: SOP Catalog,Value that identifies the name of the catalog. Review and update the value for this attribute using the Manage Catalog task in the Setup and Maintenance work area.,Y,VARCHAR2,30,,,,,,,
H,Category Name,Sample: Beverages,Value that identifies the name of the category. Review and update the value for this attribute using the Manage Catalog task in the Setup and Maintenance work area.,Y,VARCHAR2,250,,,IIM  ,"IITYP, ICLAS",,,
L,Source System Code,Sample: ALFBPCS,Defines the Source System Code. Review the value for this attribute using the Manage Source System task in the Setup and Maintenance work area.,,VARCHAR2,30,,,,,,,
